Респондент,Сообщество,"Среднегодовой.доход,.тыс..$","Объем.потребленного.алкоголя.в.год,.л.",Количество.членов.семьи,Количество.лет.образования,"Доля.от.дохода.семьи.которая.тратится.на.продовольствие,.%",Коэффициент.Джини.сообщества,"Издержки.сообщества.на.окружающую.среду,.млн..$","Охват.беспроводной.связи.в.сообществе,.%","Количество.смертей.от.вирусных.и.респираторных.заболеваний.в.сообществе,.тыс..человек",Волатильность.потребительских.цен.в.сообществе,Ощущаемое.счастье
12112,444,52.523,67,4,8,64,0.906726697769263,49.43,0.203904506331474,12.61,1.96482052336091,0
13335,315,48.459,58,6,4,61,0.876900428491161,48.59,0.168167183708131,12.38,1.72722895151245,0
15779,52,154.569,72,1,10,65,0.815005548346837,67.48,0.159918344164986,32.58,0.223979126963973,0
15890,84,90.903,51,7,16,47,0.548972994803127,210.78,0.495037679240502,11.87,3.40991597837965,2
16668,401,176.825,42,1,17,36,0.749901332370433,126.48,0.257440848212433,10.75,1.68681637356121,6
17667,385,739.044,38,4,20,38,0.651632665508891,152.42,0.431820797166488,13.31,4.01763479040222,7
18112,517,178.243,71,11,7,65,0.878160459890723,77.83,0.207122612453022,14.76,2.0650996175891,0
19001,116,827.982,37,3,22,34,0.871218887559692,25.13,0.17801807717696,23.55,0.48514406117537,7
19778,420,484.231,35,1,21,31,0.646775380060449,137.01,0.234091053232096,12.94,1.92845850496277,7
20001,206,898.56,45,4,20,40,0.961698198612175,27.67,0.195768531533383,23.77,0.566687939412825,5
21334,514,40.467,57,5,12,46,0.149807238018291,321.7,0.801696394428349,2.11,6.26663147605008,5
21445,169,824.951,35,6,22,32,0.947225319549459,41.27,0.144814565072669,22.41,0.12224984441607,7
23001,107,487.443,46,6,13,49,0.314395979660569,252.08,0.551385986966844,12.75,5.45798928841686,5
23779,413,633.13,46,6,14,47,0.146530449656987,355.74,0.875978021866837,0.56,6.73583138409817,6
24557,390,488.199,44,7,21,38,0.356138801997474,260.35,0.497795994367275,12.09,5.54603244721637,7
26112,414,436.488,49,1,13,42,0.160446506772966,356.93,0.909579111142044,2.0,6.55072346252634,6
26334,248,859.248,29,3,22,29,0.82230574801648,62.73,0.232294316698199,10.28,1.80300259370838,7
27112,272,451.521,40,5,15,47,0.902970480484622,40.52,0.181846523348745,24.07,0.319426253732511,2
27334,94,462.461,45,1,12,48,0.71714567786078,117.91,0.322279693983873,13.05,1.5889312815113,3
27445,241,670.215,48,1,15,47,0.117078022077009,318.02,0.823830510665138,1.59,6.49915845097074,8
28957,531,360.053,56,6,9,49,0.912195567156708,30.6,0.19505915531101,22.45,0.510129549964015,1
28968,325,519.687,22,6,12,23,0.156703197960207,315.47,0.920391692277141,2.51,6.55979563564923,7
29024,43,983.892,29,1,24,29,0.13252707327975,323.76,0.870231455831262,2.58,6.3613050094386,9
29124,236,379.945,65,12,10,65,0.704384670299928,123.74,0.337358286137243,12.7,3.64022628118017,1
29168,483,406.913,35,5,26,33,0.883159712536302,21.96,0.189214652583771,33.18,0.3827877654449,6
29235,149,254.135,58,4,11,64,0.672444939092889,132.14,0.248792720141421,11.67,1.94703333419081,1
29402,10,109.152,66,9,6,68,0.869528219080303,40.34,0.227802334912382,32.85,0.47144764452307,0
29524,423,48.684,46,11,13,47,0.608083768272002,197.16,0.330139764949959,14.18,3.77148688381524,2
29635,424,93.476,70,5,6,65,0.3315985526396,287.68,0.709467902066036,2.75,5.35552786708009,3
29680,213,306.569,47,6,13,44,0.115038316705218,310.23,0.831476402148554,2.31,6.38102240689995,5
29735,294,105.304,58,3,15,45,0.308468966545694,336.18,0.714148738882873,2.86,5.52337625077853,6
29791,570,597.53,48,2,19,39,0.527477399084607,170.83,0.466761512486337,12.52,3.6562437000755,7
29879,221,861.242,35,8,24,28,0.92333171146711,16.56,0.175914158362273,32.63,0.347596246239806,6
29979,596,132.746,72,10,6,67,0.642455526369913,141.56,0.359885425618452,13.55,3.92032002965838,0
30024,34,397.587,46,5,17,45,0.895635156893975,9.97,0.225820078269057,32.64,0.491227622375506,2
30079,420,90.605,69,1,6,67,0.646775380060449,137.01,0.234091053232096,12.94,1.92845850496277,1
30135,571,104.191,33,7,21,28,0.939883784446953,55.17,0.107622380842499,11.08,1.6513056517935,6
30179,420,423.911,47,9,19,42,0.646775380060449,137.01,0.234091053232096,12.94,1.92845850496277,4
30190,112,292.249,43,1,20,37,0.173461393506848,295.37,0.838365296569086,1.36,6.2495866946755,8
30335,495,290.523,52,2,16,44,0.725292410343541,179.9,0.37883281245502,11.58,3.69620171749677,6
30346,435,309.771,52,6,9,50,0.687314544113763,116.07,0.234873710672092,12.16,1.79771136315478,1
30379,47,232.503,54,3,10,49,0.872610645049399,81.43,0.123058412382201,22.28,0.317862035030971,1
30412,346,110.374,59,1,15,45,0.844700231713992,23.26,0.193858803256679,33.78,0.507044479845763,2
30480,469,436.831,51,5,10,46,0.828859553349725,23.26,0.163796136033351,23.32,0.41550533329238,1
30569,250,651.672,48,8,13,48,0.680793306133277,163.78,0.369902832526371,12.1,3.89377068504356,4
30602,412,48.946,56,8,11,48,0.294274748451635,299.35,0.699969448161596,2.09,5.57979063202236,4
30635,136,97.645,51,6,14,48,0.664771246793743,162.68,0.359272839834939,13.13,3.83183634167361,2
30646,216,360.851,47,11,11,47,0.117409943199887,343.8,0.886060771242815,1.38,6.72450049145986,5
30757,25,856.678,45,1,21,36,0.850062925341514,11.52,0.108712459331817,32.21,0.288522071532429,6
30768,84,51.679,51,7,10,45,0.548972994803127,210.78,0.495037679240502,11.87,3.40991597837965,2
30791,414,397.428,59,5,10,44,0.160446506772966,356.93,0.909579111142044,2.0,6.55072346252634,5
30813,62,282.955,58,4,10,64,0.0777609134260691,385.36,0.835722035987758,2.4,6.97288534489894,5
30835,546,72.372,67,9,6,71,0.121660446358795,400.0,0.84712473461048,0.88,6.51028153233276,3
30868,215,201.881,48,1,12,48,0.587636939103207,96.56,0.263026260136988,12.95,1.8292261565761,2
30902,472,477.24,37,4,22,31,0.689902936676003,174.32,0.322932011504897,13.59,3.85015855839195,7
30957,223,537.575,54,4,16,44,0.593186464249821,178.44,0.510255843987575,12.98,3.98405895388522,5
31024,301,152.405,49,5,15,47,0.0682134593053118,335.83,0.851623726197832,2.75,6.70456905619917,5
31057,551,366.157,59,6,9,66,0.764072626756002,93.29,0.261139494609312,13.12,1.98882971027018,1
31068,156,896.577,36,8,23,36,0.928039573882512,62.84,0.164964567756662,23.77,0.0,6
31201,353,148.199,61,1,12,44,0.510702081165599,195.66,0.528199174170259,12.24,3.67224949978974,3
31268,542,848.415,27,3,21,26,0.846705986714252,58.45,0.187753723965221,22.96,0.622413873513463,7
31335,331,807.949,55,9,15,47,0.335917724436752,262.71,0.71182623697893,0.5,5.73600517715406,6
31379,188,148.313,67,1,6,66,0.664352319111875,104.95,0.188509918860018,11.98,1.86276994322266,1
31390,356,120.573,45,9,14,52,0.927138834618798,83.64,0.184934851374928,12.24,1.7323576217293,2
31401,328,104.314,59,7,9,60,0.4081567583178,325.43,0.634360392377946,1.55,5.22445882947675,3
31434,487,237.91,56,6,11,50,0.241758088135104,247.37,0.591480640575184,11.99,5.26869725264235,4
31501,380,633.377,44,9,19,42,0.312122763608146,307.66,0.732307927186275,1.03,5.38507015637039,7
31512,556,404.023,49,5,22,32,0.719671392900135,95.0,0.306131065373977,11.77,2.14687093925289,6
31558,381,362.283,55,4,13,50,0.475595181446159,223.95,0.574755173700436,11.37,3.75311110391318,5
31724,472,614.7,28,2,11,27,0.689902936676003,174.32,0.322932011504897,13.59,3.85015855839195,4
31757,6,264.705,51,1,18,37,0.59121322928856,178.68,0.47948903458752,12.25,4.08985259800019,6
31768,163,767.233,52,1,13,48,0.92146610040012,83.15,0.136895835130548,11.78,1.63639091578037,4
31813,122,369.926,23,1,15,27,0.578024491890954,85.98,0.219040197074486,12.51,1.62599996243596,5
31968,98,423.226,48,6,20,37,0.756533985137797,39.07,0.192045589243768,11.93,1.63279873447328,6
32024,215,121.105,55,5,11,46,0.587636939103207,96.56,0.263026260136988,12.95,1.8292261565761,2
32090,510,801.324,48,1,19,37,0.927873922817043,54.76,0.220680606363292,13.53,1.78808497892616,6
32113,74,71.737,57,3,9,62,0.487468341064923,174.5,0.518266062253216,12.26,3.98120162735016,2
32124,372,175.312,63,8,4,65,0.556006948947243,176.6,0.573164199061044,11.91,3.61747390078291,1
32179,489,199.824,54,2,11,46,0.17650534654203,314.36,0.84489657861971,1.15,6.33160039741254,5
32190,583,267.853,41,3,18,39,0.214929114543409,317.71,0.899883999815275,1.69,6.66596616459357,8
32312,310,158.188,33,11,21,32,0.730684868880444,132.14,0.23402249184073,12.02,1.88723560086211,5
32357,191,15.798,68,4,10,67,0.548262522030312,185.44,0.559539710068096,11.78,3.83493297427721,1
32368,236,448.549,55,11,12,46,0.704384670299928,123.74,0.337358286137243,12.7,3.64022628118017,2
32623,97,131.255,58,7,10,62,0.633911193869143,131.72,0.35509437555808,12.98,3.45221517061137,1
32634,105,128.575,19,3,11,27,0.89317857930059,33.29,0.176772288570427,11.74,1.73398719598647,2
32669,549,474.525,47,6,13,48,0.724282788909172,147.3,0.370856872269631,12.12,3.76347158086141,3
32702,291,522.985,50,5,19,37,0.685719458052574,142.56,0.24351952372233,12.2,1.68759522720062,6
32713,473,748.451,55,3,13,46,0.364146410529362,246.84,0.532461181013929,12.97,5.36015217572863,5
32924,31,473.443,55,1,11,48,0.135873845469611,327.65,0.849854893972557,0.19,6.61256121365472,5
32935,49,515.826,36,6,20,25,0.910576647522705,42.42,0.200126333863376,12.1,1.45160124994588,6
32946,272,273.684,49,6,13,49,0.902970480484622,40.52,0.181846523348745,24.07,0.319426253732511,1
33068,540,330.411,41,1,13,42,0.60427092981303,166.92,0.375075156895896,11.43,3.70932416965196,3
33124,465,133.221,41,6,21,31,0.795348690831329,33.07,0.155137603898106,32.91,0.371558710793314,4
33257,489,341.643,39,11,15,41,0.17650534654203,314.36,0.84489657861971,1.15,6.33160039741254,5
33368,500,167.757,44,11,19,35,0.576240368739201,181.06,0.564529087761181,13.51,3.83330527735969,5
33423,372,242.205,49,2,11,52,0.556006948947243,176.6,0.573164199061044,11.91,3.61747390078291,2
33468,215,246.391,43,5,19,35,0.587636939103207,96.56,0.263026260136988,12.95,1.8292261565761,6
33490,563,334.438,52,7,13,44,0.747852555877111,180.5,0.41217810226834,12.53,4.05827292779923,2
33534,455,674.893,47,10,17,45,0.566731476852529,158.88,0.43738525317595,13.91,3.72785094790292,4
33557,565,456.01,43,3,20,40,0.212937840494322,338.11,0.916961790869354,1.81,6.43401310015086,8
33668,382,613.553,35,7,24,29,0.553200735036353,147.57,0.380170360407564,13.4,4.09761873268402,7
33679,356,112.792,49,3,15,51,0.927138834618798,83.64,0.184934851374928,12.24,1.7323576217293,2
33745,527,333.069,41,1,21,26,0.561213071934207,190.08,0.495395650180054,12.54,3.95103799235996,8
33957,345,854.066,49,8,15,49,0.72309565579392,138.63,0.369820394750087,12.36,3.94365266478469,4
34024,495,374.023,31,5,23,25,0.725292410343541,179.9,0.37883281245502,11.58,3.69620171749677,6
34035,102,313.345,43,1,18,50,0.300277965801239,271.05,0.561489836677817,12.26,5.47119308376432,6
34079,147,125.63,60,7,7,68,0.0510813855845065,362.35,0.876997699029419,2.69,6.58141506003282,3
34168,402,190.421,49,1,15,45,0.319372203940157,299.76,0.552312793571415,11.96,5.3318539363647,5
34479,51,299.127,49,10,13,44,0.357608767746237,327.31,0.720003166453106,2.14,5.57133070342282,5
34590,491,205.587,44,2,15,51,0.963755515835684,9.89,0.163012250888096,31.4,0.482081316536717,2
34734,588,130.605,67,1,6,64,0.569944423721579,189.21,0.526513670224827,13.26,3.78594135070556,1
34767,431,43.599,54,6,9,42,0.0213355195900683,372.21,0.821933999518391,2.56,6.61238524308366,5
34801,561,356.186,41,4,20,37,0.67704582020751,151.99,0.388414810771297,13.26,3.89569878664323,6
34823,540,135.771,61,3,7,58,0.60427092981303,166.92,0.375075156895896,11.43,3.70932416965196,1
34913,83,220.067,45,5,13,44,0.773096061940608,12.43,0.17939251025255,22.69,0.202466243990026,2
35024,11,30.199,70,7,3,65,0.128211236750798,388.53,0.88474471530816,2.56,6.54980351949465,3
35068,502,259.479,50,1,14,48,0.18203814844581,334.02,0.87467989736524,2.32,6.22537466868996,6
35157,112,363.022,32,1,25,28,0.173461393506848,295.37,0.838365296569086,1.36,6.2495866946755,9
35201,18,850.306,49,3,18,43,0.641402649400906,95.75,0.227454258012181,12.09,1.90841538873615,7
35224,578,83.288,64,4,6,66,0.92580841485969,71.51,0.238384763804582,13.36,1.71401260287673,0
35235,595,229.725,66,10,7,67,0.814905390453987,76.86,0.170462811836107,13.15,1.83319935198112,0
35279,450,294.637,60,8,9,46,0.868561041503993,94.84,0.161400397231123,13.0,1.77027173968032,1
35368,224,88.029,57,2,9,48,0.883402847524585,14.65,0.177723519671436,33.63,0.556826005746865,1
35423,282,30.726,71,1,6,69,0.669975574737209,146.71,0.385791211370486,12.79,3.77571457351737,1
35446,499,261.87,46,7,10,50,0.163674387788238,359.97,0.872198687435707,0.98,6.62618288413583,5
35501,528,129.382,71,2,7,68,0.707216801274019,186.1,0.517666102365913,11.18,3.76257896612819,1
35579,574,380.441,39,5,14,51,0.964447481637305,9.07,0.183040296315044,34.66,0.463727400652457,1
35679,364,167.337,68,5,6,63,0.120966453168696,309.38,0.873998245124067,2.26,6.38966714043554,3
35701,20,113.62,63,2,5,63,0.889194439310437,42.15,0.157015173416294,11.23,1.89223408013864,0
35723,333,662.552,44,1,19,38,0.696107724076542,108.85,0.284419119746296,11.31,1.70895377671721,7
35790,181,325.27,51,6,12,43,0.156132591429666,368.63,0.914952187258372,1.8,6.42922237260812,5
35801,279,143.991,48,1,17,44,0.682117492928375,134.68,0.33126323859504,12.66,3.55005750381042,5
35912,526,126.311,47,8,14,47,0.583152890246174,190.19,0.535818975234758,10.46,3.8841399393783,2
3,532,916.319,35,2,20,31,0.966599767229977,23.37,0.110343143475608,31.75,0.351202406107019,6
14,176,764.748,40,7,22,39,0.919272183879313,35.7,0.195824530567216,21.24,0.3506871970755,6
136,149,650.934,42,10,22,32,0.672444939092889,132.14,0.248792720141421,11.67,1.94703333419081,7
158,113,145.146,54,6,8,45,0.199116036401928,356.13,0.825421357409278,2.3,6.35815188726248,4
225,88,207.248,55,11,12,48,0.878883261029564,66.3,0.199068919777584,13.07,1.8947047355996,1
435,576,520.154,46,2,12,50,0.886210676591088,63.48,0.242690838112251,13.14,1.61098977957416,3
624,199,47.249,62,5,9,65,0.904975405516353,21.02,0.167148825486436,32.84,0.760088072504636,0
780,210,105.215,73,3,5,66,0.87686713335731,37.78,0.192927739474706,32.42,0.665779538768506,0
968,587,354.534,47,8,13,46,0.415690661981868,266.04,0.551605271619174,12.81,5.4310707120499,5
1068,299,296.245,39,2,17,42,0.549462079805016,191.08,0.520909889801118,12.79,3.82133479852838,6
1236,264,469.824,49,11,21,35,0.351122515894532,343.12,0.675198392194671,0.22,5.647875771851,8
1258,85,20.707,64,4,5,65,0.907793159301318,14.56,0.182606515218809,32.6,0.480274371159572,0
1380,278,111.509,69,5,8,63,0.166312534806439,328.6,0.923985968792174,0.99,6.41004051168151,3
1491,430,721.014,44,5,13,47,0.882510855751356,47.12,0.178884936648169,33.0,0.199959958169103,4
1546,373,992.005,40,5,25,31,0.749635555811,125.3,0.2510432762305,12.83,1.81634222059326,7
1591,515,443.356,56,7,19,45,0.629689975209576,141.64,0.302509740299409,12.32,1.8152614919869,5
1713,566,216.174,62,6,6,65,0.635868326283836,78.78,0.240156647447716,13.42,2.01510268828203,1
1757,369,150.184,47,3,16,45,0.941381209512168,57.8,0.106644241823268,23.05,0.260374355380188,2
1813,405,176.211,49,6,15,47,0.804385410262087,0.0,0.20999003367398,32.87,0.530945721898126,1
1846,114,873.57,38,3,25,30,0.751101814552243,98.83,0.301474044200513,13.24,1.63294583645404,7
2146,402,80.17,59,5,9,67,0.319372203940157,299.76,0.552312793571415,11.96,5.3318539363647,3
2157,510,224.008,61,12,9,63,0.927873922817043,54.76,0.220680606363292,13.53,1.78808497892616,0
2190,144,974.456,43,5,24,31,0.310095451170033,327.37,0.712821793348604,3.58,5.82691145106403,9
2212,479,45.985,53,3,11,47,0.739087421503676,140.07,0.325340327205027,12.03,3.7008162636432,2
2258,23,31.801,66,3,6,64,0.85169039965452,86.49,0.114399158756651,12.72,2.03640527385624,0
2380,220,719.322,41,4,13,51,0.542422325929396,196.58,0.529868569938189,13.05,3.8070730920111,5
2402,44,770.313,32,3,22,22,0.858192024074228,17.57,0.193541427950632,32.78,0.362212887501392,7
2469,561,309.597,50,6,17,37,0.67704582020751,151.99,0.388414810771297,13.26,3.89569878664323,5
2491,283,201.461,52,7,14,49,0.696249836922808,147.68,0.378019862165936,10.99,3.66666111377477,2
2524,417,651.141,41,8,19,39,0.623823040541477,133.69,0.410296732751017,12.78,3.82158898188116,6
2546,415,418.836,47,1,13,48,0.269714738982746,325.92,0.681387760962752,2.18,5.58104868258587,5
2713,592,137.11,48,3,17,47,0.679445384390231,111.85,0.337053848787332,12.98,1.90863866063716,4
2735,313,518.542,36,2,23,35,0.885198015649009,15.94,0.178119675318261,32.83,0.494895600393743,6
2757,451,180.956,46,1,20,40,0.858885172806676,93.48,0.169359863396543,12.57,2.21663165847304,6
2824,380,731.141,28,3,26,29,0.312122763608146,307.66,0.732307927186275,1.03,5.38507015637039,9
2868,566,751.764,51,9,15,47,0.635868326283836,78.78,0.240156647447716,13.42,2.01510268828203,4
2913,34,385.068,47,5,15,46,0.895635156893975,9.97,0.225820078269057,32.64,0.491227622375506,2
2968,118,189.522,52,3,16,49,0.939107687163082,28.18,0.179310944152203,33.54,0.477387236054773,2
3046,518,113.127,67,1,11,67,0.855697088920606,43.54,0.192551685506163,22.14,0.123997302924405,1
3057,437,185.939,52,1,10,48,0.907128418041273,39.45,0.198326695951622,13.94,1.80221371826617,2
3068,48,199.011,64,3,5,65,0.853123840723809,18.69,0.119307447794063,23.13,0.551904968079883,0
3090,483,429.226,33,1,22,31,0.883159712536302,21.96,0.189214652583771,33.18,0.3827877654449,6
3201,424,121.499,58,1,7,64,0.3315985526396,287.68,0.709467902066036,2.75,5.35552786708009,3
3301,410,201.524,56,2,12,54,0.0709136738796445,384.43,0.908343435721856,1.96,6.64040376301891,5
3546,436,351.964,50,6,17,44,0.127986856020237,353.29,0.837986545573464,1.91,6.33315174842849,7
3646,459,161.636,64,6,5,69,0.113681398580953,326.26,0.838205575226129,2.16,6.42752616653218,3
3680,145,385.748,47,5,16,48,0.155018774260581,346.58,0.819313952950405,1.56,6.71341359404987,8
3713,10,429.083,40,5,22,31,0.869528219080303,40.34,0.227802334912382,32.85,0.47144764452307,6
3791,194,269.468,54,8,16,45,0.881701145603031,47.54,0.132217715337375,12.73,2.19607869309945,2
3857,298,167.357,36,7,23,33,0.49472773922302,196.64,0.542334973019398,11.83,3.73067105471245,6
3924,25,778.514,40,4,9,49,0.850062925341514,11.52,0.108712459331817,32.21,0.288522071532429,3
3946,379,194.979,73,4,7,66,0.668605128696235,147.22,0.383025537281874,13.07,3.80335790762205,1
4002,341,415.611,52,1,11,44,0.635401152759909,95.45,0.195079795408119,12.16,2.07256769409788,2
4057,310,152.533,34,4,24,33,0.730684868880444,132.14,0.23402249184073,12.02,1.88723560086211,6
4068,147,133.945,73,2,6,64,0.0510813855845065,362.35,0.876997699029419,2.69,6.58141506003282,3
4113,105,70.81,47,1,13,48,0.89317857930059,33.29,0.176772288570427,11.74,1.73398719598647,2
4157,553,87.579,34,1,24,29,0.924119503436055,15.42,0.183917818325751,23.06,0.237023969536388,6
4190,245,360.519,49,2,16,47,0.821436177496396,55.57,0.154423638143935,12.69,1.94523745854244,3
4224,450,553.729,39,2,18,38,0.868561041503993,94.84,0.161400397231123,13.0,1.77027173968032,5
4268,140,526.666,35,2,20,22,0.213269173451214,292.17,0.668541106445719,1.88,5.54024039325571,9
4279,213,70.119,68,1,5,65,0.115038316705218,310.23,0.831476402148554,2.31,6.38102240689995,3
4301,513,393.48,61,5,9,49,0.908376713929501,48.58,0.194935529971343,13.49,2.03138220109991,1
4346,512,369.023,50,3,14,42,0.923588231197677,35.52,0.211351970088153,22.23,0.591855936192321,2
4558,434,106.06,73,5,7,66,0.823651329681238,98.98,0.163346376161219,11.9,1.84376275518583,0
4569,289,139.578,54,6,9,64,0.364690991496535,334.24,0.735374252784629,1.99,5.36557142753863,3
4580,513,185.783,75,5,5,67,0.908376713929501,48.58,0.194935529971343,13.49,2.03138220109991,0
4624,33,469.091,51,3,12,47,0.72705202569093,99.21,0.195327898844737,11.34,2.14787637960435,2
4691,14,350.82,54,4,10,42,0.570557442891639,198.01,0.494350341497268,11.95,3.6793153389044,2
4746,270,23.639,69,7,6,67,0.833148518444945,22.97,0.179594903621012,34.25,0.52670728781199,0
4768,322,13.112,75,2,6,63,0.906413806823969,30.0,0.168130550100623,35.0,0.656277188011765,0
4780,148,113.183,54,5,9,48,0.35277329370408,303.19,0.677503927549545,0.93,5.21864984518549,5
4791,202,662.776,36,5,23,37,0.34020747354124,310.06,0.702674368076988,2.04,5.52321888243091,9
4946,558,1026.677,31,4,23,34,0.477274358028004,208.71,0.474305298847145,11.94,3.78072347106783,9
4968,1,80.068,48,9,12,46,0.157861339397933,328.54,0.782842214489685,2.12,6.48266697177716,5
5002,400,778.008,50,10,16,47,0.868115722883817,32.76,0.1,23.94,0.350585346142801,4
5046,505,18.636,68,7,9,65,0.134063270087272,304.84,0.834872421118618,2.5,6.50210894670437,3
5057,259,187.605,71,6,6,67,0.855852390643453,27.05,0.121965652633479,32.16,0.10250305109051,0
5113,361,140.424,53,3,12,46,0.883178476487114,19.56,0.139394393147344,33.74,0.558025947552171,1
5124,370,86.252,42,1,19,39,0.924449670615696,51.52,0.140618315747838,22.59,0.509705284842194,5
5146,374,860.852,38,1,23,32,0.348443114273234,315.8,0.739321922507898,0.81,5.53221665662012,9
5179,250,750.26,42,4,20,37,0.680793306133277,163.78,0.369902832526371,12.1,3.89377068504356,7
5201,210,153.608,68,5,8,67,0.87686713335731,37.78,0.192927739474706,32.42,0.665779538768506,0
5312,591,17.041,76,3,5,69,0.689186866220176,184.94,0.356226804297793,11.21,3.77169145503269,1
5323,180,185.861,44,6,19,50,0.376128004609664,298.07,0.500572597975213,12.71,5.0668171716656,6
5357,349,684.993,50,7,16,47,0.855493206864243,56.63,0.202478712338428,12.62,2.00365952175036,4
5423,593,112.137,37,8,21,25,0.687422291133475,106.59,0.252109392755822,13.36,1.83164592147782,6
5523,299,291.75,46,12,19,36,0.549462079805016,191.08,0.520909889801118,12.79,3.82133479852838,5
5580,211,472.317,39,3,21,34,0.71467329659556,106.52,0.288403534977327,12.66,2.01401611197781,6
5868,118,186.141,50,1,14,46,0.939107687163082,28.18,0.179310944152203,33.54,0.477387236054773,2
5990,120,572.629,43,2,13,49,0.746943814346207,146.91,0.28773743839118,12.67,1.83072301780432,4
6079,558,786.528,47,7,14,46,0.477274358028004,208.71,0.474305298847145,11.94,3.78072347106783,4
6124,345,1010.933,35,10,24,31,0.72309565579392,138.63,0.369820394750087,12.36,3.94365266478469,7
6146,244,102.71,64,2,7,67,0.0568653155477999,386.12,0.881776739832411,0.6,6.56839661986294,3
6190,261,17.049,61,4,7,64,0.253781203543798,281.03,0.749933922808894,1.56,5.42640083105039,3
6323,116,380.103,52,4,12,46,0.871218887559692,25.13,0.17801807717696,23.55,0.48514406117537,1
6346,319,450.916,28,6,22,25,0.520363813945298,226.52,0.560581751549808,12.52,3.67106497406013,8
6390,78,601.89,45,8,16,48,0.695405665753619,93.1,0.294960920357009,12.73,2.03824928643949,4
6479,196,287.34,58,5,12,43,0.134439803310321,327.58,0.831074453011596,2.27,6.24094806884972,5
